date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:22	2280/2280	---MC-	200	added ('OK')	application/json	date:Thu,%2010%20May%202018%2017:57:21%20GMT	https://mobiledirectflooring.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmobiledirectflooring.com%2Fcarpet-flooring%2F	mobiledirectflooring.com/wp-json/oembed/1.0/embed1ff5.json	(from https://mobiledirectflooring.com/carpet-flooring/)
13:57:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:57:22%20GMT	https://mobiledirectflooring.com/?p=1602	mobiledirectflooring.com/indexc573.html	(from https://mobiledirectflooring.com/carpet-flooring/)
13:57:24	2377/2377	---MC-	200	added ('OK')	text/xml	date:Thu,%2010%20May%202018%2017:57:23%20GMT	https://mobiledirectflooring.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmobiledirectflooring.com%2Fcarpet-flooring%2F&format=xml	mobiledirectflooring.com/wp-json/oembed/1.0/embeda891	(from https://mobiledirectflooring.com/carpet-flooring/)
13:57:25	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:57:24%20GMT	https://mobiledirectflooring.com/financing-for-flooring	mobiledirectflooring.com/financing-for-flooring	(from https://mobiledirectflooring.com/carpet-flooring/)
13:57:25	50331/50331	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Apr%202018%2018:58:26%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/0-Financing-no-van-1.png	mobiledirectflooring.com/wp-content/uploads/2018/04/0-Financing-no-van-1.png	(from https://mobiledirectflooring.com/carpet-flooring/)
13:57:27	265649/265649	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Apr%202018%2003:29:35%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/EXTRAFOOTAGE-0196-2-e1523590175347.jpg	mobiledirectflooring.com/wp-content/uploads/2018/04/EXTRAFOOTAGE-0196-2-e1523590175347.jpg	(from https://mobiledirectflooring.com/carpet-flooring/)
13:57:28	0/-1	---M--	302	error ('')			http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.3f.delayed	(from https://mobiledirectflooring.com/laminate-flooring/)
13:57:28	0/-1	---M--	302	error ('')			http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.40.delayed	(from https://mobiledirectflooring.com/laminate-flooring/)
13:57:28	3068890/3068890	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Apr%202018%2004:40:31%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/kids-camping-carpet.png	mobiledirectflooring.com/wp-content/uploads/2018/04/kids-camping-carpet.png	(from https://mobiledirectflooring.com/carpet-flooring/)
13:57:29	2290/2290	---MC-	200	added ('OK')	application/json	date:Thu,%2010%20May%202018%2017:57:28%20GMT	https://mobiledirectflooring.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmobiledirectflooring.com%2Flaminate-flooring%2F	mobiledirectflooring.com/wp-json/oembed/1.0/embed56e7.json	(from https://mobiledirectflooring.com/laminate-flooring/)
13:57:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:57:29%20GMT	https://mobiledirectflooring.com/?p=219	mobiledirectflooring.com/index50f6.html	(from https://mobiledirectflooring.com/laminate-flooring/)
13:57:32	2387/2387	---MC-	200	added ('OK')	text/xml	date:Thu,%2010%20May%202018%2017:57:30%20GMT	https://mobiledirectflooring.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmobiledirectflooring.com%2Flaminate-flooring%2F&format=xml	mobiledirectflooring.com/wp-json/oembed/1.0/embedebeb	(from https://mobiledirectflooring.com/laminate-flooring/)
13:57:32	270/270	---M--	302	error ('Found')	text/html	date:Thu,%2010%20May%202018%2017:57:32%20GMT	http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/6zrsfcad/2svwh.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/6zrsfcad/2svwh.43.delayed	(from https://mobiledirectflooring.com/laminate-flooring/)
13:57:34	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:57:32%20GMT	https://mobiledirectflooring.com/financing-for-flooring	mobiledirectflooring.com/financing-for-flooring	(from https://mobiledirectflooring.com/laminate-flooring/)
13:57:35	0/-1	---M--	302	error ('')			http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.46.delayed	(from https://mobiledirectflooring.com/hardwood-flooring/)
13:57:35	0/-1	---M--	302	error ('')			http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.47.delayed	(from https://mobiledirectflooring.com/hardwood-flooring/)
